,origin,destination,volume_pt,volume_car,volume_walk,volumes_calibration
306,zone_bc_10,zone_bc_13,0.0,106.0,0.0,106.0
307,zone_bc_11,zone_bc_5,0.0,66.0,0.0,66.0
308,zone_bc_11,zone_bc_28,0.0,827.0,0.0,827.0
309,zone_bc_11,zone_bc_32,0.0,842.0,0.0,842.0
310,zone_bc_11,zone_bc_34,0.0,1684.0,0.0,1684.0
311,zone_bc_11,zone_bc_59,0.0,843.0,0.0,843.0
312,zone_bc_13,zone_bc_3,0.0,60.0,0.0,60.0
313,zone_bc_13,zone_bc_7,0.0,139.0,0.0,139.0
314,zone_bc_13,zone_bc_15,0.0,1221.0,0.0,1221.0
315,zone_bc_13,zone_bc_28,0.0,458.0,0.0,458.0
316,zone_bc_13,zone_bc_31,0.0,639.0,0.0,639.0
317,zone_bc_13,zone_bc_32,0.0,495.0,0.0,495.0
318,zone_bc_13,zone_bc_52,0.0,1303.0,0.0,1303.0
319,zone_bc_13,zone_bc_60,0.0,30.0,0.0,30.0
320,zone_bc_14,zone_bc_10,0.0,106.0,0.0,106.0
321,zone_bc_14,zone_bc_17,0.0,43.0,0.0,43.0
322,zone_bc_14,zone_bc_19,0.0,66.0,0.0,66.0
323,zone_bc_14,zone_bc_21,0.0,380.0,0.0,380.0
324,zone_bc_16,zone_bc_7,0.0,347.0,0.0,347.0
325,zone_bc_16,zone_bc_52,0.0,247.0,0.0,247.0
326,zone_bc_16,zone_bc_60,0.0,65.0,0.0,65.0
327,zone_bc_16,zone_bc_62,0.0,127.0,0.0,127.0
328,zone_bc_17,zone_bc_1,0.0,88.0,0.0,88.0
329,zone_bc_17,zone_bc_9,0.0,90.0,0.0,90.0
330,zone_bc_17,zone_bc_14,0.0,43.0,0.0,43.0
331,zone_bc_17,zone_bc_33,0.0,266.0,243.0,509.0
332,zone_bc_19,zone_bc_4,0.0,27.0,177.0,204.0
333,zone_bc_19,zone_bc_5,0.0,142.0,0.0,142.0
334,zone_bc_19,zone_bc_9,0.0,148.0,58.0,206.0
335,zone_bc_19,zone_bc_26,0.0,51.0,0.0,51.0
336,zone_bc_20,zone_bc_1,0.0,77.0,0.0,77.0
337,zone_bc_20,zone_bc_32,0.0,1303.0,0.0,1303.0
338,zone_bc_21,zone_bc_1,0.0,309.0,0.0,309.0
339,zone_bc_21,zone_bc_14,0.0,380.0,0.0,380.0
340,zone_bc_21,zone_bc_28,0.0,651.0,0.0,651.0
341,zone_bc_21,zone_bc_32,0.0,968.0,0.0,968.0
342,zone_bc_23,zone_bc_2,0.0,135.0,0.0,135.0
343,zone_bc_23,zone_bc_4,0.0,122.0,0.0,122.0
344,zone_bc_23,zone_bc_8,0.0,502.0,0.0,502.0
345,zone_bc_23,zone_bc_28,0.0,122.0,0.0,122.0
346,zone_bc_23,zone_bc_62,0.0,19.0,0.0,19.0
347,zone_bc_24,zone_bc_26,0.0,159.0,165.0,324.0
348,zone_bc_24,zone_bc_31,0.0,1976.0,0.0,1976.0
349,zone_bc_24,zone_bc_33,0.0,174.0,165.0,339.0
350,zone_bc_24,zone_bc_59,0.0,228.0,0.0,228.0
351,zone_bc_26,zone_bc_19,0.0,51.0,0.0,51.0
352,zone_bc_26,zone_bc_24,0.0,85.0,0.0,85.0
353,zone_bc_28,zone_bc_3,0.0,14.0,0.0,14.0
354,zone_bc_28,zone_bc_13,0.0,174.0,0.0,174.0
355,zone_bc_28,zone_bc_21,0.0,1031.0,0.0,1031.0
356,zone_bc_28,zone_bc_23,0.0,37.0,0.0,37.0
357,zone_bc_29,zone_bc_31,0.0,155.0,0.0,155.0
358,zone_bc_31,zone_bc_13,0.0,484.0,0.0,484.0
359,zone_bc_31,zone_bc_31,0.0,65.0,0.0,65.0
360,zone_bc_33,zone_bc_7,0.0,113.0,0.0,113.0
361,zone_bc_33,zone_bc_26,0.0,627.0,0.0,627.0
362,zone_bc_33,zone_bc_32,0.0,48.0,0.0,48.0
363,zone_bc_33,zone_bc_61,0.0,1482.0,0.0,1482.0
364,zone_bc_33,zone_bc_62,0.0,168.0,0.0,168.0
365,zone_bc_34,zone_bc_9,0.0,78.0,0.0,78.0
366,zone_bc_39,zone_bc_17,0.0,35.0,0.0,35.0
367,zone_bc_60,zone_bc_16,0.0,65.0,0.0,65.0
368,zone_bc_61,zone_bc_31,0.0,181.0,0.0,181.0
369,zone_bc_62,zone_bc_23,0.0,19.0,0.0,19.0
370,zone_bc_7,zone_bc_16,0.0,0.0,431.0,431.0
371,zone_bc_11,zone_bc_49,0.0,0.0,1049.0,1049.0
372,zone_bc_17,zone_bc_34,0.0,0.0,53.0,53.0
373,zone_bc_19,zone_bc_19,0.0,0.0,610.0,610.0
374,zone_bc_23,zone_bc_17,0.0,0.0,78.0,78.0
375,zone_bc_24,zone_bc_40,0.0,0.0,155.0,155.0
376,zone_bc_24,zone_bc_41,0.0,0.0,88.0,88.0
377,zone_bc_34,zone_bc_17,0.0,0.0,53.0,53.0
